影视轮播,#genre#
大自然纪录片,http://120.233.116.115/tx.hls.huya.com/src/1199563517421-1199563517421-5444480232956362752-2399127158298-10057-A-0-1.m3u8
动物世界,http://120.233.116.115/tx.hls.huya.com/src/1199573184125-1199573184125-5485998410496475136-2399146491706-10057-A-0-1.m3u8
良少聊漫威,http://120.233.116.115/tx.hls.huya.com/src/1199582668017-1199582668017-5526731416475271168-2399165459490-10057-A-0-1_2000.m3u8
阿斗看电影,http://120.233.116.115/tx.hls.huya.com/src/94525224-2583571962-11096357083652554752-3503038830-10057-A-0-1-imgplus_2000.m3u8
电影最TOP,http://120.233.116.115/tx.hls.huya.com/src/94525224-2672048638-11476361513531342848-3153216706-10057-A-0-1_2000.m3u8
漫威,http://120.233.116.115/tx.hls.huya.com/src/1448738325-1448738325-6222283726336819200-3048991600-10057-A-0-1.m3u8
周星驰,http://120.233.116.115/tx.hls.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1.m3u8
吴 京,http://120.233.116.115/tx.hls.huya.com/src/1524434090-1524434090-6547394561457520640-3048991636-10057-A-0-1.m3u8
成 龙,http://120.233.116.115/tx.hls.huya.com/src/1394565191-1394565191-5989611887484993536-2789253838-10057-A-0-1-imgplus.m3u8
林正英,http://120.233.116.115/tx.hls.huya.com/src/1394575543-1394575543-5989656348986441728-2789274542-10057-A-0-1.m3u8

MIGU频道,#genre#
MIGU4K剧场,http://117.148.179.134/PLTV/88888888/224/3221231624/index.m3u8#http://117.148.179.161/PLTV/88888888/224/3221231624/index.m3u8
MIGUTVB剧场,http://117.148.179.134/PLTV/88888888/224/3221231733/index.m3u8#http://117.148.179.157/PLTV/88888888/224/3221231733/index.m3u8
MIGU每日荐影,http://117.148.179.162/PLTV/88888888/224/3221231727/index.m3u8
MIGU高分影院,http://117.148.179.134/PLTV/88888888/224/3221231699/index.m3u8
MIGU云上电影,http://117.148.179.134/PLTV/88888888/224/3221231565/index.m3u8
MIGU追剧少女,http://117.148.179.179/PLTV/88888888/224/3221231643/index.m3u8
MIGU高能烧脑,http://117.148.179.134/PLTV/88888888/224/3221231504/index.m3u8
MIGU午夜剧场,http://117.148.179.134/PLTV/88888888/224/3221231516/index.m3u8
MIGU试胆大会,http://117.148.179.134/PLTV/88888888/224/3221231672/index.m3u8#http://117.148.179.166/PLTV/88888888/224/3221231672/index.m3u8
MIGU新片放映,http://117.148.179.134/PLTV/88888888/224/3221231640/index.m3u8
MIGU僵尸剧场,http://117.148.179.134/PLTV/88888888/224/3221231742/index.m3u8#http://117.148.179.165/PLTV/88888888/224/3221231742/index.m3u8
MIGU经典贺岁,http://117.148.179.159/PLTV/88888888/224/3221231679/index.m3u8
MIGU文艺娱乐,http://117.148.179.134/PLTV/88888888/224/3221231570/index.m3u8
MIGU喜剧联盟,http://117.148.179.134/PLTV/88888888/224/3221231621/index.m3u8
MIGU军旅剧场,http://117.148.179.134/PLTV/88888888/224/3221231585/index.m3u8#http://117.148.179.145/PLTV/88888888/224/3221231585/index.m3u8
MIGU怀旧老片,http://117.148.179.134/PLTV/88888888/224/3221231513/index.m3u8
MIGU谍战剧场,http://117.148.179.169/PLTV/88888888/224/3221231627/index.m3u8
MIGU科幻电影,http://117.148.179.134/PLTV/88888888/224/3221231568/index.m3u8
MIGU盗墓方法论,http://117.148.179.134/PLTV/88888888/224/3221231652/index.m3u8#http://117.148.179.164/PLTV/88888888/224/3221231652/index.m3u8
MIGU神探狄仁杰剧场,http://117.148.179.139/PLTV/88888888/224/3221231634/index.m3u8
MIGU成龙影院,http://117.148.179.134/PLTV/88888888/224/3221231687/index.m3u8
MIGU杨幂影院,http://117.148.179.183/PLTV/88888888/224/3221231556/index.m3u8#http://117.148.179.134/PLTV/88888888/224/3221231556/index.m3u8
MIGU葛优影院,http://117.148.179.134/PLTV/88888888/224/3221231754/index.m3u8#http://117.148.179.139/PLTV/88888888/224/3221231754/index.m3u8
MIGU金庸频道,http://117.148.179.134/PLTV/88888888/224/3221231477/index.m3u8#http://117.148.179.132/PLTV/88888888/224/3221231477/index.m3u8
MIGU刘亦菲影院,http://117.148.179.134/PLTV/88888888/224/3221231787/index.m3u8#http://117.148.179.165/PLTV/88888888/224/3221231787/index.m3u8
MIGU刘德华影院,http://117.148.179.134/PLTV/88888888/224/3221231757/index.m3u8#http://117.148.179.154/PLTV/88888888/224/3221231757/index.m3u8
MIGU周润发影院,http://117.148.179.134/PLTV/88888888/224/3221231709/index.m3u8
MIGU周星驰影院,http://117.148.179.134/PLTV/88888888/224/3221231562/index.m3u8
MIGU张国荣影院,http://117.148.179.134/PLTV/88888888/224/3221231790/index.m3u8
